student_id_number,term_code,class_nbr,completed_flag,official_grade,acad_plan,hours_carried
55611,3,5065,0,DROP,BS2127,15
55611,3,5060,1,B,BS2127,15
55613,6,5508,1,B+,BF5162,18
69071,5,6720,0,DROP,ND6340,18
69071,5,6616,0,F,ND6340,18
55614,3,6507,1,B,ND1206,15
55614,3,6070,1,A,ND1206,15
55615,4,4975,1,A,ND1201,18
55615,4,5092,0,DROP,ND1201,18
55617,4,4975,1,D,BS2121,16
55617,4,5144,0,DROP,BS2121,16
55617,5,6715,0,DROP,BS6470,15
55617,5,6622,1,D-,BS6470,15
55618,6,5807,1,C,BS8122,17
55619,4,4975,1,B+,BS2127,17
55619,4,5908,1,B+,BS2127,17
55619,4,5126,0,DROP,BS2127,17
55620,3,6075,1,A,ND5368,17
55621,4,5903,1,A,BS2127,13
55623,3,6119,1,A-,ND0210,16
55624,4,5916,1,B+,BB6120,17
55628,5,7884,1,A-,ND0410,14
55629,4,11041,1,B+,ND1201,16
55630,5,6721,0,DROP,BS8171,15
55630,5,6616,1,A,BS8171,15
55630,4,5940,1,A,BS8171,14
55631,6,5507,1,A,BS6836,15
55631,3,6510,1,C,BS6836,15
55632,4,5916,1,A-,ND0610,18
55633,4,4975,1,A,BS0411,19
55633,4,5144,0,DROP,BS0411,19
55635,4,6057,1,A,BS6924,15
55636,3,6515,1,C+,ND1105,15
55637,4,5911,1,A,BS5327,15
55637,4,6271,1,A-,BS5327,15
55638,4,5936,1,A,BS3313,13
55638,3,5061,1,C-,BS3313,15
55638,3,5164,0,DROP,BS3313,15
55639,3,6079,1,A,BS6306,16
55641,4,4975,1,C+,BS2121,14
55641,4,5126,0,DROP,BS2121,14
55642,4,5936,1,A,BB6124,15
55643,3,6071,1,A,ND1220,15
55644,4,5940,1,A,BS7260,17.5
55645,4,5930,1,A,BB6125,15
55646,6,5516,0,WP,BM5053,13.5
55648,3,6107,1,A-,BC5363,16
55650,4,5933,1,B+,BB6127,18
55650,3,6616,1,B+,BB6127,17
55651,4,5917,1,B-,ND0610,15
55652,3,5063,0,DROP,BS3316,15
55652,4,5916,1,A,BS3316,15
55652,3,5060,1,B,BS3316,15
55653,4,4975,1,C+,BA2128,16
55653,4,5144,0,DROP,BA2128,16
55654,4,5918,1,B+,BS3105,15
55654,3,6518,1,B+,BS3105,16
84441,3,5062,1,C,ND8837,17
84441,3,5168,0,DROP,ND8837,17
55656,3,6514,1,B+,BS2127,16
55657,3,6506,0,WP,BS2127,18
55657,3,6110,1,C,BS2127,18
55657,4,6271,0,F,BS2127,15
55658,4,5936,0,WP,BA4251,12
55836,4,5906,1,A,BB6125,17
55837,4,5933,1,A-,BS6474,15
55837,6,4646,1,S,BS6470,18
55837,6,4796,0,DROP,BS6470,18
55837,3,9890,1,B-,BS8100,16
55841,4,4974,0,WP,BS3314,18
55841,4,5951,1,B,BS3314,18
55841,4,5143,0,DROP,BS3314,18
55842,4,6268,1,A-,BS8171,18
55842,5,7543,1,A,BS8171,13
55843,3,5066,0,DROP,BS7257,19
55843,3,5060,0,WP,BS7257,19
55849,3,6088,1,A,BJ6906,17
55850,3,5061,1,A-,ND0910,17
55850,3,5163,0,DROP,ND0910,17
55850,4,11049,1,A-,ND0910,16.5
69076,2,6473,1,A,ND9956,6
84447,4,12879,1,A-,BS1203,7
84607,3,6090,1,A,ND9956,11
55858,3,6089,1,B+,ND1105,15
55858,4,4974,1,D+,ND1105,17
55858,4,4977,0,DROP,ND1105,17
55858,5,6716,0,DROP,ND1105,16
55858,5,6623,1,B-,ND1105,16
55859,4,5091,0,DROP,BA4101,19
55859,4,4975,1,A-,BA4101,19
55861,3,6518,1,A,BS6306,17
55862,3,5064,0,DROP,BA2128,18
55862,3,5060,0,WP,BA2128,18
55863,4,11049,1,A,BJ6907,15
55864,4,5906,1,A,BA4101,16
55865,4,11052,1,A-,BM5115,17
55866,3,6094,0,FS,ND1201,11
55867,3,5061,1,B+,BS2127,15
55867,4,5915,1,A-,BS2127,15
55867,3,5164,0,DROP,BS2127,15
55868,4,5902,0,WF,BA4101,15
55870,4,5918,1,B,ND0610,15
55871,4,5933,1,B+,BC5370,15
55872,3,6080,1,A,BS7269,17
55874,4,4974,0,WP,BS2121,16
55874,4,5125,0,DROP,BS2121,16
55874,5,6621,0,DROP,BS2121,13
55874,5,6615,1,D-,BS2121,13
55877,5,6722,0,DROP,BS7252,16
55877,5,6617,1,B,BS7252,16
55878,3,6119,1,B+,BS8119,15
84456,2,5070,0,DROP,ND1220,18
84456,2,5067,1,C+,ND1220,18
55883,3,6078,1,A,BS7256,16.5
55884,3,5064,0,DROP,BS7251,16.5
55884,3,5060,1,A,BS7251,16.5
55887,4,5932,1,A-,BB6121,18
69074,6,5664,1,A,BB6125,16
84457,2,8298,1,B,BA4101,16
55888,3,6613,1,A-,BS6317,17
55888,4,5938,1,A,BS6317,15
55889,4,5901,1,A,BS7257,18.5
55889,5,6719,0,DROP,BS7257,17
55889,5,6616,1,B,BS7257,17
55891,3,6516,1,B,ND1206,15
55892,3,6262,1,A,ND1220,15
84462,4,12356,1,D+,BS6357,16
55893,3,6103,1,A-,ND1201,16
55897,3,6082,1,A,ND1206,15
55897,3,9889,1,A-,ND1206,15
52370,4,5952,1,A-,BS7260,13
52370,6,4645,1,S,BS7260,15
52370,6,4647,0,DROP,BS7260,15
52371,4,6273,1,B,BS8119,17
52371,3,6068,1,A,BS8119,15
52373,4,5899,1,A,BB6127,18
52374,4,5909,1,C-,BS2127,18
52375,3,5062,1,B,BS7251,15
52375,3,5168,0,DROP,BS7251,15
52375,5,7520,1,A,BS7251,15
52377,3,5064,0,DROP,BS1937,18
